model type,technique,training loses,testing loses,training accuracies,training f1,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Decision tree,baseline,0.13392621986550313,0.2962962962962963,85.12562990536057,0.6624308018725198,70.37037037037037,0.3333333333333333,10.0,85.0,23.0,17.0
Decision tree,batch normalisation,0.17926360332203747,0.4222222222222222,82.07363966779626,0.4692234681805276,57.77777777777777,0.06557377049180328,2.0,76.0,20.0,37.0
Decision tree,dropout,0.15229311888750371,0.15555555555555556,84.20732885010447,0.399392989175993,82.96296296296296,0.2962962962962963,4.0,112.0,5.0,14.0
Decision tree,layer normalisation,0.19140080417186103,0.2740740740740741,80.41613260056536,0.6373750236833998,72.5925925925926,0.3728813559322034,11.0,87.0,7.0,30.0
Decision tree,prune,0.2414771829403192,0.5407407407407407,74.43137323758188,0.6784797341751179,45.925925925925924,0.23157894736842105,11.0,51.0,53.0,20.0
Decision tree,weight normalisation,0.2053351008726494,0.3740740740740741,78.96309237441399,0.6732419137235686,55.55555555555556,0.07692307692307693,2.0,85.0,0.0,48.0
Decision tree,weight decay,0.23229768405527365,0.3111111111111111,75.67327445437466,0.608135405566731,68.88888888888889,0.045454545454545456,1.0,92.0,4.0,38.0
Decision tree,weight perturbation,0.2293364704229804,0.22962962962962963,77.06635295770198,0.0,77.03703703703704,0.0,0.0,104.0,0.0,31.0
KNN,baseline,0.18636946253928677,0.2074074074074074,81.36305374607133,0.4206678677270611,79.25925925925927,0.3333333333333333,7.0,100.0,8.0,20.0
KNN,batch normalisation,0.010074974101452075,0.2814814814814815,98.45916808596562,0.9775482893190409,71.85185185185186,0.05,1.0,96.0,0.0,38.0
KNN,dropout,0.14043729039734518,0.2185185185185185,82.13439151581127,0.48229609609096535,74.07407407407408,0.0,0.0,111.0,6.0,18.0
KNN,layer normalisation,0.1374879286429161,0.45185185185185184,86.2512071357084,0.7707727705768089,54.81481481481482,0.26506024096385544,11.0,63.0,31.0,30.0
KNN,prune,0.27406457956560676,0.26666666666666666,72.59354204343933,0.5901814244089524,73.33333333333333,0.28,7.0,92.0,12.0,24.0
KNN,weight normalisation,0.19822572998788474,0.4888888888888889,80.17742700121151,0.6661211924654225,51.11111111111111,0.35294117647058826,18.0,51.0,34.0,32.0
KNN,weight decay,0.23703404561656102,0.2740740740740741,76.29659543834391,0.600074458825266,72.5925925925926,0.463768115942029,16.0,82.0,14.0,23.0
KNN,weight perturbation,0.18665917510930066,0.24444444444444444,81.33408248906994,0.4356141490824898,75.55555555555556,0.05714285714285714,1.0,101.0,3.0,30.0
Neural Network,baseline,0.3466666666666666,0.2,65.33333333333334,0.06850828729281769,80.0,0.0,0.0,108.0,0.0,27.0
Neural Network,batch normalisation,0.22666666666666666,0.28888888888888886,77.33333333333333,0.0,71.11111111111111,0.0,0.0,96.0,0.0,39.0
Neural Network,dropout,0.4373333333333333,0.13333333333333333,56.26666666666667,0.13142963560742443,86.66666666666667,0.0,0.0,117.0,0.0,18.0
Neural Network,layer normalisation,0.15333333333333332,0.42962962962962964,84.66666666666667,0.674788568335062,57.03703703703704,0.17142857142857143,6.0,71.0,23.0,35.0
Neural Network,prune,0.14533333333333334,0.2962962962962963,85.46666666666667,0.8011539122967829,70.37037037037037,0.13043478260869565,3.0,92.0,12.0,28.0
Neural Network,weight normalisation,0.16466666666666668,0.4074074074074074,83.53333333333333,0.7217552753600145,59.25925925925925,0.26666666666666666,10.0,70.0,15.0,40.0
Neural Network,weight decay,0.10600000000000001,0.3111111111111111,89.4,0.8381061227464324,68.88888888888889,0.4,14.0,79.0,17.0,25.0
Neural Network,weight perturbation,0.33333333333333337,0.22962962962962963,66.66666666666666,0.07741935483870968,77.03703703703704,0.0,0.0,104.0,0.0,31.0
Random forest,baseline,0.13096588415008867,0.1925925925925926,86.90341158499112,0.6377791699673593,80.74074074074075,0.07142857142857142,1.0,108.0,0.0,26.0
Random forest,batch normalisation,0.010073218267694414,0.4148148148148148,98.42967007883693,0.9776447780060755,54.074074074074076,0.21212121212121213,7.0,76.0,20.0,32.0
Random forest,dropout,0.07971134093024072,0.13333333333333333,92.02886590697594,0.7515031008783074,86.66666666666667,0.0,0.0,117.0,0.0,18.0
Random forest,layer normalisation,0.13925605323687953,0.3037037037037037,86.07439467631204,0.7614388965315919,69.62962962962963,0.08888888888888889,2.0,92.0,2.0,39.0
Random forest,prune,0.04473425456077818,0.37037037037037035,95.52657454392218,0.942392167429779,62.96296296296296,0.10714285714285714,3.0,82.0,22.0,28.0
Random forest,weight normalisation,0.22251242252383543,0.37037037037037035,77.74875774761645,0.6105917193674266,62.96296296296296,0.0,0.0,85.0,0.0,50.0
Random forest,weight decay,0.073180517268625,0.3037037037037037,92.6819482731375,0.8926833870960248,69.62962962962963,0.046511627906976744,1.0,93.0,3.0,38.0
Random forest,weight perturbation,0.09718803223710779,0.2222222222222222,90.25152318578478,0.7562146822942448,77.77777777777779,0.0625,1.0,104.0,0.0,30.0
svm,baseline,0.19971028742998612,0.31851851851851853,80.0289712570014,0.30348275815078196,68.14814814814815,0.0851063829787234,2.0,90.0,18.0,25.0
svm,batch normalisation,0.1274094428739487,0.362962962962963,87.25905571260515,0.6585950418411906,63.70370370370371,0.40963855421686746,17.0,69.0,27.0,22.0
svm,dropout,0.057780977297069526,0.37777777777777777,94.22190227029304,0.8382323409640424,62.22222222222222,0.03773584905660377,1.0,83.0,34.0,17.0
svm,layer normalisation,0.08385335276456025,0.6,91.61466472354398,0.8631778821473878,40.0,0.3076923076923077,18.0,36.0,58.0,23.0
svm,prune,0.12206731866626867,0.34814814814814815,87.79326813337313,0.8351219374645075,65.18518518518519,0.2033898305084746,6.0,82.0,22.0,25.0
svm,weight normalisation,0.11052710129404948,0.4074074074074074,88.94728987059504,0.8245640945721157,59.25925925925925,0.38202247191011235,17.0,63.0,22.0,33.0
svm,weight decay,0.1828209225150563,0.43703703703703706,81.71790774849437,0.701394663078504,56.2962962962963,0.16901408450704225,6.0,70.0,26.0,33.0
svm,weight perturbation,0.09481326707987289,0.25925925925925924,90.5186732920127,0.7669523286281116,74.07407407407408,0.14634146341463414,3.0,97.0,7.0,28.0
